Bundesliga,2223,Bochum,Pierre Kunde,CMR,"MF,FW"
Bundesliga,2223,Bochum,Saidy Janko,GAM,DF
Bundesliga,2223,Bochum,Silvère Ganvoula M'Boussy,CGO,"FW,MF"
Bundesliga,2223,Bochum,Simon Zoller,GER,FW
Bundesliga,2223,Bochum,Takuma Asano,JPN,"FW,MF"
Bundesliga,2223,Bochum,Tim Oermann,GER,DF
Bundesliga,2223,Bochum,Vassilis Lambropoulos,GRE,DF
Bundesliga,2223,Dortmund,Alexander Meyer,GER,GK
Bundesliga,2223,Dortmund,Anthony Modeste,FRA,FW
Bundesliga,2223,Dortmund,Antonios Papadopoulos,GER,DF
Bundesliga,2223,Dortmund,Donyell Malen,NED,FW
Bundesliga,2223,Dortmund,Emre Can,GER,MF
Bundesliga,2223,Dortmund,Felix Passlack,GER,DF
Bundesliga,2223,Dortmund,Gio Reyna,USA,"FW,MF"
Bundesliga,2223,Dortmund,Gregor Kobel,SUI,GK
Bundesliga,2223,Dortmund,Jamie Bynoe-Gittens,ENG,"FW,MF"
Bundesliga,2223,Dortmund,Jude Bellingham,ENG,MF
Bundesliga,2223,Dortmund,Julian Brandt,GER,"MF,FW"
Bundesliga,2223,Dortmund,Julian Ryerson,NOR,DF
Bundesliga,2223,Dortmund,Julien Duranville,BEL,MF
Bundesliga,2223,Dortmund,Justin Njinmah,GER,FW
Bundesliga,2223,Dortmund,Karim Adeyemi,GER,"FW,MF"
Bundesliga,2223,Dortmund,Mahmoud Dahoud,GER,MF
Bundesliga,2223,Dortmund,Marco Pašalić,CRO,MF
Bundesliga,2223,Dortmund,Marco Reus,GER,"MF,FW"
Bundesliga,2223,Dortmund,Marius Wolf,GER,DF
Bundesliga,2223,Dortmund,Mats Hummels,GER,DF
Bundesliga,2223,Dortmund,Nico Schlotterbeck,GER,DF
Bundesliga,2223,Dortmund,Niklas Süle,GER,DF
Bundesliga,2223,Dortmund,Raphaël Guerreiro,POR,"DF,MF"
Bundesliga,2223,Dortmund,Salih Özcan,TUR,MF
Bundesliga,2223,Dortmund,Soumaïla Coulibaly,FRA,DF
Bundesliga,2223,Dortmund,Sébastien Haller,CIV,FW
Bundesliga,2223,Dortmund,Thomas Meunier,BEL,DF
Bundesliga,2223,Dortmund,Thorgan Hazard,BEL,"FW,DF"
Bundesliga,2223,Dortmund,Tom Rothe,GER,DF
Bundesliga,2223,Dortmund,Youssoufa Moukoko,GER,FW
Bundesliga,2223,Eint Frankfurt,Almamy Touré,MLI,DF
Bundesliga,2223,Eint Frankfurt,Ansgar Knauff,GER,DF
