71,Bologna,Roma,2023-05-14 Bologna-Roma,2023-05-14,0
72,Cremonese,Bologna,2023-05-20 Cremonese-Bologna,2023-05-20,0
73,Bologna,Napoli,2023-05-28 Bologna-Napoli,2023-05-28,0
74,Lecce,Bologna,2023-06-04 Lecce-Bologna,2023-06-04,0
75,Fiorentina,Cremonese,2022-08-14 Fiorentina-Cremonese,2022-08-14,0
76,Roma,Cremonese,2022-08-22 Roma-Cremonese,2022-08-22,0
77,Cremonese,Torino,2022-08-27 Cremonese-Torino,2022-08-27,0
78,Inter,Cremonese,2022-08-30 Inter-Cremonese,2022-08-30,0
79,Cremonese,Sassuolo,2022-09-04 Cremonese-Sassuolo,2022-09-04,0
80,Cremonese,Lazio,2022-09-18 Cremonese-Lazio,2022-09-18,0
81,Lecce,Cremonese,2022-10-02 Lecce-Cremonese,2022-10-02,0
82,Cremonese,Napoli,2022-10-09 Cremonese-Napoli,2022-10-09,0
83,Spezia,Cremonese,2022-10-16 Spezia-Cremonese,2022-10-16,0
84,Cremonese,Sampdoria,2022-10-24 Cremonese-Sampdoria,2022-10-24,0
85,Cremonese,Udinese,2022-10-30 Cremonese-Udinese,2022-10-30,0
86,Salernitana,Cremonese,2022-11-05 Salernitana-Cremonese,2022-11-05,0
87,Cremonese,Milan,2022-11-08 Cremonese-Milan,2022-11-08,0
88,Empoli,Cremonese,2022-11-11 Empoli-Cremonese,2022-11-11,0
89,Cremonese,Juventus,2023-01-04 Cremonese-Juventus,2023-01-04,0
90,Hellas Verona,Cremonese,2023-01-09 Hellas Verona-Cremonese,2023-01-09,0
91,Cremonese,Monza,2023-01-14 Cremonese-Monza,2023-01-14,0
92,Cremonese,Inter,2023-01-28 Cremonese-Inter,2023-01-28,0
93,Cremonese,Lecce,2023-02-04 Cremonese-Lecce,2023-02-04,0
94,Napoli,Cremonese,2023-02-12 Napoli-Cremonese,2023-02-12,0
95,Torino,Cremonese,2023-02-20 Torino-Cremonese,2023-02-20,0
96,Cremonese,Roma,2023-02-28 Cremonese-Roma,2023-02-28,0
97,Sassuolo,Cremonese,2023-03-06 Sassuolo-Cremonese,2023-03-06,0
98,Cremonese,Fiorentina,2023-03-12 Cremonese-Fiorentina,2023-03-12,0
99,Monza,Cremonese,2023-03-18 Monza-Cremonese,2023-03-18,0
100,Sampdoria,Cremonese,2023-04-08 Sampdoria-Cremonese,2023-04-08,0
101,Cremonese,Empoli,2023-04-14 Cremonese-Empoli,2023-04-14,0
102,Udinese,Cremonese,2023-04-23 Udinese-Cremonese,2023-04-23,0
103,Cremonese,Hellas Verona,2023-04-30 Cremonese-Hellas Verona,2023-04-30,0
104,Milan,Cremonese,2023-05-03 Milan-Cremonese,2023-05-03,0
105,Cremonese,Spezia,2023-05-06 Cremonese-Spezia,2023-05-06,0
106,Juventus,Cremonese,2023-05-14 Juventus-Cremonese,2023-05-14,0
107,Lazio,Cremonese,2023-05-28 Lazio-Cremonese,2023-05-28,0
108,Cremonese,Salernitana,2023-06-03 Cremonese-Salernitana,2023-06-03,0
109,Spezia,Empoli,2022-08-14 Spezia-Empoli,2022-08-14,0
110,Empoli,Fiorentina,2022-08-21 Empoli-Fiorentina,2022-08-21,0
111,Lecce,Empoli,2022-08-28 Lecce-Empoli,2022-08-28,0
112,Empoli,Hellas Verona,2022-08-31 Empoli-Hellas Verona,2022-08-31,0
113,Salernitana,Empoli,2022-09-05 Salernitana-Empoli,2022-09-05,0
114,Empoli,Roma,2022-09-12 Empoli-Roma,2022-09-12,0
115,Empoli,Milan,2022-10-01 Empoli-Milan,2022-10-01,0
116,Torino,Empoli,2022-10-09 Torino-Empoli,2022-10-09,0
117,Empoli,Monza,2022-10-15 Empoli-Monza,2022-10-15,0
118,Juventus,Empoli,2022-10-21 Juventus-Empoli,2022-10-21,0
119,Empoli,Sassuolo,2022-11-05 Empoli-Sassuolo,2022-11-05,0
120,Napoli,Empoli,2022-11-08 Napoli-Empoli,2022-11-08,0
121,Udinese,Empoli,2023-01-04 Udinese-Empoli,2023-01-04,0
122,Lazio,Empoli,2023-01-08 Lazio-Empoli,2023-01-08,0
123,Empoli,Sampdoria,2023-01-16 Empoli-Sampdoria,2023-01-16,0
124,Inter,Empoli,2023-01-23 Inter-Empoli,2023-01-23,0
125,Empoli,Torino,2023-01-28 Empoli-Torino,2023-01-28,0
126,Roma,Empoli,2023-02-04 Roma-Empoli,2023-02-04,0
127,Empoli,Spezia,2023-02-11 Empoli-Spezia,2023-02-11,0
128,Fiorentina,Empoli,2023-02-19 Fiorentina-Empoli,2023-02-19,0
129,Empoli,Napoli,2023-02-25 Empoli-Napoli,2023-02-25,0
130,Monza,Empoli,2023-03-04 Monza-Empoli,2023-03-04,0
131,Empoli,Udinese,2023-03-11 Empoli-Udinese,2023-03-11,0
132,Empoli,Lecce,2023-04-03 Empoli-Lecce,2023-04-03,0
133,Milan,Empoli,2023-04-07 Milan-Empoli,2023-04-07,0
134,Empoli,Inter,2023-04-23 Empoli-Inter,2023-04-23,0
135,Sassuolo,Empoli,2023-04-30 Sassuolo-Empoli,2023-04-30,0
136,Empoli,Salernitana,2023-05-08 Empoli-Salernitana,2023-05-08,0
137,Sampdoria,Empoli,2023-05-15 Sampdoria-Empoli,2023-05-15,0
138,Empoli,Juventus,2023-05-22 Empoli-Juventus,2023-05-22,0
139,Hellas Verona,Empoli,2023-05-28 Hellas Verona-Empoli,2023-05-28,0
140,Empoli,Lazio,2023-06-03 Empoli-Lazio,2023-06-03,0
141,Fiorentina,Napoli,2022-08-28 Fiorentina-Napoli,2022-08-28,0
142,Udinese,Fiorentina,2022-08-31 Udinese-Fiorentina,2022-08-31,0
143,Fiorentina,Juventus,2022-09-03 Fiorentina-Juventus,2022-09-03,0
144,Fiorentina,Hellas Verona,2022-09-18 Fiorentina-Hellas Verona,2022-09-18,0
145,Fiorentina,Lazio,2022-10-10 Fiorentina-Lazio,2022-10-10,0
146,Lecce,Fiorentina,2022-10-17 Lecce-Fiorentina,2022-10-17,0
147,Fiorentina,Inter,2022-10-22 Fiorentina-Inter,2022-10-22,0
148,Spezia,Fiorentina,2022-10-30 Spezia-Fiorentina,2022-10-30,0
149,Sampdoria,Fiorentina,2022-11-06 Sampdoria-Fiorentina,2022-11-06,0
150,Fiorentina,Salernitana,2022-11-09 Fiorentina-Salernitana,2022-11-09,0
151,Milan,Fiorentina,2022-11-13 Milan-Fiorentina,2022-11-13,0
152,Fiorentina,Monza,2023-01-04 Fiorentina-Monza,2023-01-04,0
153,Fiorentina,Sassuolo,2023-01-07 Fiorentina-Sassuolo,2023-01-07,0
154,Roma,Fiorentina,2023-01-15 Roma-Fiorentina,2023-01-15,0
155,Fiorentina,Torino,2023-01-21 Fiorentina-Torino,2023-01-21,0
156,Lazio,Fiorentina,2023-01-29 Lazio-Fiorentina,2023-01-29,0
157,Juventus,Fiorentina,2023-02-12 Juventus-Fiorentina,2023-02-12,0
158,Hellas Verona,Fiorentina,2023-02-27 Hellas Verona-Fiorentina,2023-02-27,0
159,Fiorentina,Milan,2023-03-04 Fiorentina-Milan,2023-03-04,0
160,Fiorentina,Lecce,2023-03-19 Fiorentina-Lecce,2023-03-19,0
161,Inter,Fiorentina,2023-04-01 Inter-Fiorentina,2023-04-01,0
162,Fiorentina,Spezia,2023-04-08 Fiorentina-Spezia,2023-04-08,0
163,Monza,Fiorentina,2023-04-23 Monza-Fiorentina,2023-04-23,0
164,Fiorentina,Sampdoria,2023-04-30 Fiorentina-Sampdoria,2023-04-30,0
165,Salernitana,Fiorentina,2023-05-03 Salernitana-Fiorentina,2023-05-03,0
166,Napoli,Fiorentina,2023-05-07 Napoli-Fiorentina,2023-05-07,0
167,Fiorentina,Udinese,2023-05-14 Fiorentina-Udinese,2023-05-14,0
168,Torino,Fiorentina,2023-05-21 Torino-Fiorentina,2023-05-21,0
169,Fiorentina,Roma,2023-05-27 Fiorentina-Roma,2023-05-27,0
170,Sassuolo,Fiorentina,2023-06-02 Sassuolo-Fiorentina,2023-06-02,0
171,Hellas Verona,Napoli,2022-08-15 Hellas Verona-Napoli,2022-08-15,0
172,Hellas Verona,Sampdoria,2022-09-04 Hellas Verona-Sampdoria,2022-09-04,0
173,Lazio,Hellas Verona,2022-09-11 Lazio-Hellas Verona,2022-09-11,0
174,Hellas Verona,Udinese,2022-10-03 Hellas Verona-Udinese,2022-10-03,0
175,Salernitana,Hellas Verona,2022-10-09 Salernitana-Hellas Verona,2022-10-09,0
176,Hellas Verona,Milan,2022-10-16 Hellas Verona-Milan,2022-10-16,0
177,Sassuolo,Hellas Verona,2022-10-24 Sassuolo-Hellas Verona,2022-10-24,0
178,Hellas Verona,Roma,2022-10-31 Hellas Verona-Roma,2022-10-31,0
179,Monza,Hellas Verona,2022-11-06 Monza-Hellas Verona,2022-11-06,0
180,Hellas Verona,Juventus,2022-11-10 Hellas Verona-Juventus,2022-11-10,0
181,Hellas Verona,Spezia,2022-11-13 Hellas Verona-Spezia,2022-11-13,0
182,Torino,Hellas Verona,2023-01-04 Torino-Hellas Verona,2023-01-04,0
183,Inter,Hellas Verona,2023-01-14 Inter-Hellas Verona,2023-01-14,0
184,Hellas Verona,Lecce,2023-01-21 Hellas Verona-Lecce,2023-01-21,0
185,Udinese,Hellas Verona,2023-01-30 Udinese-Hellas Verona,2023-01-30,0
186,Hellas Verona,Lazio,2023-02-06 Hellas Verona-Lazio,2023-02-06,0
187,Hellas Verona,Salernitana,2023-02-13 Hellas Verona-Salernitana,2023-02-13,0
188,Roma,Hellas Verona,2023-02-19 Roma-Hellas Verona,2023-02-19,0
189,Spezia,Hellas Verona,2023-03-05 Spezia-Hellas Verona,2023-03-05,0
190,Hellas Verona,Monza,2023-03-12 Hellas Verona-Monza,2023-03-12,0
191,Sampdoria,Hellas Verona,2023-03-19 Sampdoria-Hellas Verona,2023-03-19,0
192,Juventus,Hellas Verona,2023-04-01 Juventus-Hellas Verona,2023-04-01,0
193,Hellas Verona,Sassuolo,2023-04-08 Hellas Verona-Sassuolo,2023-04-08,0
194,Napoli,Hellas Verona,2023-04-15 Napoli-Hellas Verona,2023-04-15,0
195,Hellas Verona,Inter,2023-05-03 Hellas Verona-Inter,2023-05-03,0
196,Lecce,Hellas Verona,2023-05-07 Lecce-Hellas Verona,2023-05-07,0
197,Hellas Verona,Torino,2023-05-14 Hellas Verona-Torino,2023-05-14,0
198,Milan,Hellas Verona,2023-06-04 Milan-Hellas Verona,2023-06-04,0
199,Spezia,Hellas Verona,2023-06-11 Spezia-Hellas Verona,2023-06-11,0
200,Lecce,Inter,2022-08-13 Lecce-Inter,2022-08-13,0
201,Inter,Spezia,2022-08-20 Inter-Spezia,2022-08-20,0
202,Lazio,Inter,2022-08-26 Lazio-Inter,2022-08-26,0
203,Milan,Inter,2022-09-03 Milan-Inter,2022-09-03,0
204,Inter,Torino,2022-09-10 Inter-Torino,2022-09-10,0
205,Udinese,Inter,2022-09-18 Udinese-Inter,2022-09-18,0
206,Inter,Roma,2022-10-01 Inter-Roma,2022-10-01,0
