1308,55,1949,95,0.07,,0,15,0,1
1254,78,285,94,0.11,,0,7,0,2
1105,24,975,64,0.02,,0,31,0,3
1412,45+2,1396,110,0.55,0.4,0,8,1,4
1350,80,81,99,0.45,0.94,1,5,2,5
1280,32,2526,94,0.08,,0,17,1,6
1143,23,2636,91,0.07,0.56,1,14,1,7
1267,85,1328,94,0.06,,0,15,1,8
2434,33,762,9,0.09,,0,18,1,9
2874,5,335,46,0.05,,0,18,0,10
1348,90+2,2490,97,0.03,0.08,0,28,0,11
931,34,2194,68,0.05,,0,19,1,12
57,35,2077,112,0.05,,0,20,1,13
61,58,2124,117,0.28,0.22,0,12,0,14
1965,36,1846,4,0.02,,0,31,0,15
574,36,1379,85,0.03,0.21,0,28,1,16
1470,3,683,103,0.07,,0,6,2,17
781,19,2202,51,0.02,,0,24,0,18
1508,26,1228,110,0.12,,0,9,1,19
688,51,895,87,0.03,,0,22,1,20
2612,29,24,10,0.03,,0,29,0,21
335,69,1831,127,0.06,,0,22,1,22
397,76,713,72,0.08,,0,18,0,23
804,37,1005,52,0.04,0.09,0,23,1,24
830,40,881,55,0.14,,0,4,1,25
1375,29,1043,101,0.05,,0,21,1,26
229,54,2617,118,0.02,,0,11,2,27
1269,41,608,98,0.03,,0,27,0,28
1497,40,127,105,0.03,,0,20,1,29
2143,82,2542,4,0.05,0.13,0,29,0,30
1479,2,1261,103,0.05,0.13,0,28,1,31
526,24,575,80,0.07,,0,22,1,32
384,12,1620,87,0.05,,0,23,1,33
949,58,2570,64,0.03,0.04,0,19,1,34
926,45+1,243,66,0.02,,0,34,1,35
724,21,2132,84,0.05,0.26,1,25,1,36
2446,59,1765,13,0.05,,0,11,0,37
698,28,2430,82,0.1,,0,26,1,38
31,69,1598,111,0.1,,0,18,0,39
2871,90+2,1769,32,0.04,,0,14,2,40
1794,80,1330,3,0.05,,0,22,0,41
1803,67,1698,18,0.04,,0,24,0,42
425,78,2009,72,0.01,,0,32,0,43
925,34,1234,63,0.04,,0,23,0,44
