league_id,name,country_id
DK1,Superliga,39
ES1,La Liga,157
FR1,Ligue 1,50
IT1,Serie A,75
NL1,Eredivisie,122
PO1,Liga Portugal,136
GB1,Premier League,189
UKR1,Premier Liga,177
GR1,Super League 1,56
TR1,Süper Lig,174
L1,Bundesliga,40
RU1,Russian Premier Liga,141
SC1,Scottish Premiership,190
BE1,Jupiler Pro League,19
