100049,New Zealand,NZL,New Zealand Football,Oceania,OFC,https://en.wikipedia.org/wiki/New_Zealand_national_football_team
100050,Nigeria,NGA,Nigeria Football Federation,Africa,CAF,https://en.wikipedia.org/wiki/Nigeria_national_football_team
100051,North Korea,PRK,Democratic People's Republic of Korea Football Association,East Asia,AFC,https://en.wikipedia.org/wiki/North_Korea_national_football_team
100052,Northern Ireland,NIR,Irish Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Northern_Ireland_national_football_team
100053,Norway,NOR,Norwegian Football Federation,Europe,UEFA,https://en.wikipedia.org/wiki/Norway_national_football_team
100054,Panama,PAN,Panamanian Football Federation,Central America,CONCACAF,https://en.wikipedia.org/wiki/Panama_national_football_team
100055,Paraguay,PRY,Paraguayan Football Association,South America,CONMEBOL,https://en.wikipedia.org/wiki/Paraguay_national_football_team
100056,Peru,PER,Peruvian Football Association,South America,CONMEBOL,https://en.wikipedia.org/wiki/Peru_national_football_team
100057,Poland,POL,Polish Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Poland_national_football_team
100058,Portugal,PRT,Portuguese Football Federation,Europe,UEFA,https://en.wikipedia.org/wiki/Portugal_national_football_team
100059,Qatar,QAT,Qatar Football Association,Middle East,AFC,https://en.wikipedia.org/wiki/Qatar_national_football_team
100060,Republic of Ireland,IRL,Football Association of Ireland,Europe,UEFA,https://en.wikipedia.org/wiki/Republic_of_Ireland_national_football_team
100061,Romania,ROU,Romanian Football Federation,Europe,UEFA,https://en.wikipedia.org/wiki/Romania_national_football_team
100062,Russia,RUS,Russian Football Union,"Europe, Asia",UEFA,https://en.wikipedia.org/wiki/Russia_national_football_team
100063,Saudi Arabia,SAU,Saudi Arabian Football Association,Middle East,AFC,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team
100064,Scotland,SCO,Scottish Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Scotland_national_football_team
100065,Senegal,SEN,Senegalese Football Federation,Africa,CAF,https://en.wikipedia.org/wiki/Senegal_national_football_team
100066,Serbia,SRB,Football Association of Serbia,Europe,UEFA,https://en.wikipedia.org/wiki/Serbia_national_football_team
100067,Serbia and Montenegro,SCG,Football Association of Serbia and Montenegro,Europe,UEFA,https://en.wikipedia.org/wiki/Serbia_and_Montenegro_national_football_team
100068,Slovakia,SVK,Slovak Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Slovakia_national_football_team
100069,Slovenia,SVN,Football Association of Slovenia,Europe,UEFA,https://en.wikipedia.org/wiki/Slovenia_national_football_team
100070,South Africa,ZAF,South African Football Associaiton,Africa,CAF,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team
100071,South Korea,KOR,Korea Football Association,East Asia,AFC,https://en.wikipedia.org/wiki/South_Korea_national_football_team
100072,Soviet Union,SUN,Football Federation of the Soviet Union,"Europe, Asia",UEFA,https://en.wikipedia.org/wiki/Soviet_Union_national_football_team
100073,Spain,ESP,Royal Spanish Football Federation,Europe,UEFA,https://en.wikipedia.org/wiki/Spain_national_football_team
100074,Sweden,SWE,Swedish Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team
100075,Switzerland,CHE,Swiss Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Switzerland_national_football_team
100077,Togo,TGO,Togolese Football Federation,Africa,CAF,https://en.wikipedia.org/wiki/Togo_national_football_team
100078,Trinidad and Tobago,TTO,Trinidad and Tobago Football Assocaition,Caribbean,CONCACAF,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_national_football_team
100079,Tunisia,TUN,Tunisian Football Federation,Africa,CAF,https://en.wikipedia.org/wiki/Tunisia_national_football_team
100080,Turkey,TUR,Turkish Football Association,"Europe, Asia",UEFA,https://en.wikipedia.org/wiki/Turkey_national_football_team
100081,Ukraine,UKR,Ukrainian Association of Football,Europe,UEFA,https://en.wikipedia.org/wiki/Ukraine_national_football_team
100082,United Arab Emirates,ARE,United Arab Emirates Football Association,Middle East,AFC,https://en.wikipedia.org/wiki/United_Arab_Emirates_national_football_team
100083,United States,USA,United States Soccer Federation,North America,CONCACAF,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team
100084,Uruguay,URY,Uruguayan Football Association,South America,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team
100085,Wales,WAL,Football Association of Wales,Europe,UEFA,https://en.wikipedia.org/wiki/Wales_national_football_team
100086,West Germany,DEU,Germany Football Association,Europe,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team
100087,Yugoslavia,YUG,Football Association of Yugoslavia,Europe,UEFA,https://en.wikipedia.org/wiki/Yugoslavia_national_football_team
100088,Zaire,COD,Congolese Association Football Federation,Africa,CAF,https://en.wikipedia.org/wiki/DR_Congo_national_football_team
